time (UT),rad (mag/sq asec),rad nW/cm2/sr,chisquared,Moon alt (deg)
2025-02-18T01:30:05Z,10.94,0.01585,697.21323,-55.79
2025-02-18T01:35:05Z,12.28,0.02423,202.93905,-54.87
2025-02-18T01:40:05Z,13.69,0.05793,55.38162,-53.94
2025-02-18T01:45:05Z,15.04,0.0488,15.97223,-53.01
2025-02-18T01:50:05Z,16.14,0.02996,5.79917,-52.06
2025-02-18T01:55:05Z,17.28,0.06969,2.02939,-51.11
2025-02-18T02:00:05Z,18.25,0.10984,0.83055,-50.15
2025-02-18T02:05:05Z,19.08,0.09641,0.38669,-49.19
2025-02-18T02:10:05Z,19.84,0.01924,0.19203,-48.22
2025-02-18T02:15:05Z,20.23,0.00563,0.13408,-47.25
2025-02-18T02:20:05Z,20.4,0.00489,0.11465,-46.27
2025-02-18T02:25:05Z,20.56,0.00089,0.09894,-45.29
2025-02-18T02:30:05Z,20.63,0.00031,0.09276,-44.31
2025-02-18T02:35:05Z,20.68,0.00003,0.08859,-43.32
2025-02-18T02:40:05Z,20.7,0.00003,0.08697,-42.33
2025-02-18T02:45:05Z,20.72,0.00004,0.08538,-41.34
2025-02-18T02:50:06Z,20.73,0.00011,0.0846,-40.34
2025-02-18T02:55:06Z,20.75,0.00008,0.08305,-39.34
2025-02-18T03:00:06Z,20.76,0.00008,0.08229,-38.34
2025-02-18T03:05:06Z,20.77,0.00013,0.08154,-37.34
2025-02-18T03:10:06Z,20.78,0.00023,0.08079,-36.34
2025-02-18T03:15:06Z,20.79,0.00026,0.08005,-35.33
2025-02-18T03:20:06Z,20.8,0.00026,0.07932,-34.33
2025-02-18T03:25:06Z,20.8,0.00027,0.07932,-33.32
2025-02-18T03:30:06Z,20.82,0.00026,0.07787,-32.31
2025-02-18T03:35:06Z,20.83,0.00033,0.07716,-31.3
2025-02-18T03:40:06Z,20.84,0.00034,0.07645,-30.3
2025-02-18T03:45:07Z,20.84,0.00033,0.07645,-29.28
2025-02-18T03:50:07Z,20.87,0.00029,0.07436,-28.27
2025-02-18T03:55:07Z,20.87,0.00064,0.07436,-27.27
2025-02-18T04:00:07Z,20.88,0.00173,0.07368,-26.26
2025-02-18T04:05:07Z,20.9,0.00256,0.07234,-25.25
2025-02-18T04:10:07Z,20.9,0.00452,0.07234,-24.24
2025-02-18T04:15:07Z,20.9,0.01085,0.07234,-23.23
2025-02-18T04:20:07Z,20.92,0.0136,0.07102,-22.22
2025-02-18T04:25:07Z,20.91,0.01928,0.07167,-21.21
2025-02-18T04:30:07Z,20.91,0.03173,0.07167,-20.21
2025-02-18T04:35:07Z,20.87,0.10331,0.07436,-19.2
2025-02-18T04:40:06Z,20.8,0.08276,0.07932,-18.2
2025-02-18T04:45:06Z,20.82,0.28555,0.07787,-17.2
2025-02-18T04:50:05Z,20.67,0.33317,0.08941,-16.2
2025-02-18T04:55:06Z,20.46,0.33238,0.10848,-15.2
2025-02-18T05:00:06Z,20.44,0.33948,0.1105,-14.2
2025-02-18T05:05:05Z,20.37,0.35646,0.11786,-13.2
2025-02-18T05:10:05Z,20.4,0.36648,0.11465,-12.21
2025-02-18T05:15:06Z,20.77,0.66304,0.08154,-11.21
2025-02-18T05:20:05Z,20.65,0.73407,0.09107,-10.22
2025-02-18T05:25:06Z,20.52,0.6991,0.10265,-9.23
2025-02-18T05:30:06Z,20.71,0.7738,0.08617,-8.24
2025-02-18T05:35:06Z,20.42,0.70415,0.11256,-7.26
2025-02-18T05:40:05Z,20.32,0.6341,0.12341,-6.28
2025-02-18T05:45:05Z,20.22,0.62526,0.13532,-5.3
2025-02-18T05:50:06Z,20.42,0.62992,0.11256,-4.32
2025-02-18T05:55:07Z,20.92,0.6449,0.07102,-3.34
2025-02-18T06:00:06Z,20.79,0.67292,0.08005,-2.37
2025-02-18T06:05:05Z,20.67,0.71855,0.08941,-1.41
2025-02-18T06:10:08Z,20.98,0.84509,0.0672,-0.43
2025-02-18T06:15:08Z,20.97,1.04686,0.06782,0.53
2025-02-18T06:20:07Z,20.92,1.72238,0.07102,1.48
2025-02-18T06:25:07Z,20.86,1.88096,0.07505,2.43
2025-02-18T06:30:06Z,20.81,1.65187,0.07859,3.38
2025-02-18T06:35:06Z,20.77,1.23947,0.08154,4.32
2025-02-18T06:40:06Z,20.7,1.01496,0.08697,5.26
2025-02-18T06:45:06Z,20.52,1.07467,0.10265,6.2
2025-02-18T06:50:06Z,20.44,1.10002,0.1105,7.13
2025-02-18T06:55:05Z,20.29,1.08208,0.12687,8.05
2025-02-18T07:00:05Z,19.78,1.0706,0.20294,8.97
2025-02-18T07:05:05Z,19.92,1.05808,0.17839,9.88
2025-02-18T07:10:06Z,20.5,1.02659,0.10456,10.79
2025-02-18T07:15:06Z,20.52,0.97243,0.10265,11.69
2025-02-18T07:20:06Z,20.52,1.1664,0.10265,12.59
2025-02-18T07:25:06Z,20.46,1.14881,0.10848,13.48
2025-02-18T07:30:06Z,20.42,1.1153,0.11256,14.36
2025-02-18T07:35:05Z,20.39,1.12999,0.11571,15.23
2025-02-18T07:40:05Z,20.2,1.18968,0.13784,16.1
2025-02-18T07:45:05Z,20.31,1.21509,0.12456,16.96
2025-02-18T07:50:05Z,20.32,0.82221,0.12341,17.81
2025-02-18T07:55:05Z,20.14,0.31086,0.14567,18.65
2025-02-18T08:00:05Z,19.64,0.52454,0.23087,19.49
2025-02-18T08:05:05Z,19.87,0.54157,0.1868,20.31
2025-02-18T08:10:05Z,19.9,0.57039,0.1817,21.13
2025-02-18T08:15:05Z,19.84,0.58912,0.19203,21.93
2025-02-18T08:20:05Z,19.68,0.59332,0.22252,22.73
2025-02-18T08:25:05Z,19.63,0.57672,0.23301,23.51
2025-02-18T08:30:05Z,19.3,0.5783,0.31577,24.28
2025-02-18T08:35:05Z,19.6,0.52299,0.23953,25.05
2025-02-18T08:40:05Z,19.95,0.40658,0.17353,25.8
2025-02-18T08:45:05Z,19.6,0.33805,0.23953,26.53
2025-02-18T08:50:05Z,19.61,0.29733,0.23734,27.26
2025-02-18T08:55:05Z,19.57,0.30328,0.24624,27.97
2025-02-18T09:00:05Z,19.53,0.29366,0.25549,28.67
2025-02-18T09:05:05Z,19.5,0.29062,0.26264,29.35
2025-02-18T09:10:05Z,19.45,0.29789,0.27502,30.02
2025-02-18T09:15:05Z,19.42,0.30554,0.28273,30.67
2025-02-18T09:20:05Z,19.29,0.18311,0.31869,31.31
2025-02-18T09:25:05Z,19.33,0.1852,0.30716,31.93
2025-02-18T09:30:05Z,19.29,0.07937,0.31869,32.53
2025-02-18T09:35:05Z,19.19,0.0808,0.34943,33.12
2025-02-18T09:40:05Z,19.27,0.07904,0.32461,33.69
2025-02-18T09:45:05Z,19.32,0.07197,0.31,34.23
2025-02-18T09:50:05Z,19.32,0.06923,0.31,34.76
2025-02-18T09:55:05Z,19.32,0.06189,0.31,35.27
2025-02-18T10:00:05Z,19.33,0.28684,0.30716,35.76
2025-02-18T10:05:05Z,19.27,0.41223,0.32461,36.23
2025-02-18T10:10:05Z,19.17,0.44562,0.35593,36.68
2025-02-18T10:15:05Z,19.11,0.47013,0.37615,37.1
2025-02-18T10:20:05Z,19.22,0.46501,0.33991,37.5
2025-02-18T10:25:05Z,19.14,0.4512,0.3659,37.88
2025-02-18T10:30:05Z,19.21,0.60071,0.34306,38.23
2025-02-18T10:35:05Z,19.11,0.64168,0.37615,38.56
2025-02-18T10:40:05Z,18.6,0.01859,0.60168,38.86
2025-02-18T10:45:05Z,18.61,0.13352,0.59616,39.14
