time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-06-27T02:45:00Z,9.88,0.0004,1850.82613,15.33
2025-06-27T02:50:00Z,10.94,0.00648,697.21323,14.37
2025-06-27T02:55:00Z,12.07,0.02888,246.24398,13.41
2025-06-27T03:00:00Z,13.18,0.00841,88.58611,12.45
2025-06-27T03:05:00Z,14.63,0.0005,23.30052,11.49
2025-06-27T03:10:00Z,15.66,0.00032,9.0233,10.54
2025-06-27T03:15:00Z,16.68,0.00312,3.52668,9.6
2025-06-27T03:20:00Z,17.59,0.00084,1.52534,8.65
2025-06-27T03:25:00Z,18.31,0.00013,0.7859,7.71
2025-06-27T03:30:00Z,19.09,0.00002,0.38315,6.78
2025-06-27T03:35:00Z,19.8,0.00018,0.19923,5.85
2025-06-27T03:40:00Z,20.39,0.00008,0.11571,4.92
2025-06-27T03:45:00Z,20.88,0.00005,0.07368,4
2025-06-27T03:50:00Z,21.21,0.00004,0.05437,3.09
2025-06-27T03:55:00Z,21.42,0.00005,0.04481,2.18
2025-06-27T04:00:00Z,21.54,0.00002,0.04012,1.27
2025-06-27T04:05:00Z,21.6,0.00001,0.03796,0.37
2025-06-27T04:10:00Z,21.63,0.00002,0.03693,-0.53
2025-06-27T04:15:00Z,21.65,0.00002,0.03625,-1.42
2025-06-27T04:20:00Z,21.67,0.00368,0.03559,-2.3
2025-06-27T04:25:00Z,21.67,0.00117,0.03559,-3.18
2025-06-27T04:30:00Z,21.67,0.00077,0.03559,-4.05
2025-06-27T04:35:00Z,21.67,0.00071,0.03559,-4.92
2025-06-27T04:40:00Z,21.71,0.00076,0.03431,-5.78
2025-06-27T04:45:00Z,21.7,0.00074,0.03462,-6.63
2025-06-27T04:50:00Z,21.7,0.00078,0.03462,-7.47
2025-06-27T04:55:00Z,21.7,0.00078,0.03462,-8.31
2025-06-27T05:00:00Z,21.71,0.00044,0.03431,-9.15
2025-06-27T05:05:00Z,21.71,0.00018,0.03431,-9.97
2025-06-27T05:10:00Z,21.73,0.0002,0.03368,-10.79
2025-06-27T05:15:00Z,21.73,0.00027,0.03368,-11.59
2025-06-27T05:20:00Z,21.73,0.00022,0.03368,-12.39
2025-06-27T05:25:00Z,21.73,0.00024,0.03368,-13.19
2025-06-27T05:30:00Z,21.73,0.00026,0.03368,-13.97
2025-06-27T05:35:00Z,21.74,0.00019,0.03337,-14.74
2025-06-27T05:40:00Z,21.75,0.00014,0.03306,-15.51
2025-06-27T05:45:00Z,21.76,0.00019,0.03276,-16.26
2025-06-27T05:50:00Z,21.76,0.00076,0.03276,-17.01
2025-06-27T05:55:00Z,21.76,0.00067,0.03276,-17.74
2025-06-27T06:00:00Z,21.76,0.00037,0.03276,-18.46
2025-06-27T06:05:00Z,21.74,0.00018,0.03337,-19.18
2025-06-27T06:10:00Z,21.74,0.00016,0.03337,-19.88
2025-06-27T06:15:00Z,21.74,0.00015,0.03337,-20.57
2025-06-27T06:20:00Z,21.73,0.00026,0.03368,-21.25
2025-06-27T06:25:00Z,21.72,0.00019,0.03399,-21.92
2025-06-27T06:30:00Z,21.71,0.00026,0.03431,-22.57
2025-06-27T06:35:00Z,21.72,0.00025,0.03399,-23.21
2025-06-27T06:40:00Z,21.71,0.00026,0.03431,-23.84
2025-06-27T06:45:00Z,21.69,0.00026,0.03494,-24.45
2025-06-27T06:50:00Z,21.69,0.00037,0.03494,-25.05
2025-06-27T06:55:00Z,21.69,0.00026,0.03494,-25.64
2025-06-27T07:00:00Z,21.68,0.00064,0.03527,-26.21
2025-06-27T07:05:00Z,21.66,0.00093,0.03592,-26.77
2025-06-27T07:10:00Z,21.65,0.00055,0.03625,-27.31
2025-06-27T07:15:00Z,21.62,0.00019,0.03727,-27.83
2025-06-27T07:20:00Z,21.6,0.00025,0.03796,-28.34
2025-06-27T07:25:00Z,21.58,0.00025,0.03867,-28.83
2025-06-27T07:30:00Z,21.57,0.00027,0.03903,-29.3
2025-06-27T07:35:00Z,21.56,0.00013,0.03939,-29.76
2025-06-27T07:40:00Z,21.53,0.00025,0.04049,-30.19
2025-06-27T07:45:00Z,21.52,0.00034,0.04087,-30.61
2025-06-27T07:50:00Z,21.5,0.00042,0.04163,-31.01
2025-06-27T07:55:00Z,21.5,0.00039,0.04163,-31.4
2025-06-27T08:00:00Z,21.49,0.00014,0.04201,-31.76
2025-06-27T08:05:00Z,21.48,0.00014,0.0424,-32.1
2025-06-27T08:10:00Z,21.47,0.00014,0.04279,-32.42
2025-06-27T08:15:00Z,21.47,0.00009,0.04279,-32.72
2025-06-27T08:20:00Z,21.45,0.00009,0.04359,-33
2025-06-27T08:25:00Z,21.44,0.00014,0.04399,-33.26
2025-06-27T08:30:00Z,21.43,0.00028,0.0444,-33.5
2025-06-27T08:35:00Z,21.42,0.00045,0.04481,-33.71
2025-06-27T08:40:00Z,21.42,0.00026,0.04481,-33.9
2025-06-27T08:45:00Z,21.42,0.00017,0.04481,-34.07
2025-06-27T08:50:00Z,21.42,0.00015,0.04481,-34.22
2025-06-27T08:55:00Z,21.42,0.00017,0.04481,-34.35
2025-06-27T09:00:00Z,21.42,0.00015,0.04481,-34.45
2025-06-27T09:05:00Z,21.43,0.00012,0.0444,-34.53
2025-06-27T09:10:00Z,21.44,0.00012,0.04399,-34.58
2025-06-27T09:15:00Z,21.44,0.00015,0.04399,-34.62
2025-06-27T09:20:00Z,21.44,0.00017,0.04399,-34.63
2025-06-27T09:25:00Z,21.44,0.00048,0.04399,-34.61
