time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-09-15T01:43:00Z,10.06,0.00013,1568.07063,-30.56
2025-09-15T01:48:00Z,11.41,0.0004,452.23651,-30.58
2025-09-15T01:53:00Z,12.81,0.00032,124.55628,-30.57
2025-09-15T01:58:00Z,14.21,0.00013,34.30565,-30.54
2025-09-15T02:03:00Z,15.52,0.0004,10.26516,-30.49
2025-09-15T02:08:00Z,16.66,0.00012,3.59224,-30.42
2025-09-15T02:13:00Z,17.68,0.0004,1.404,-30.33
2025-09-15T02:18:00Z,18.67,0.00025,0.56411,-30.22
2025-09-15T02:23:00Z,19.58,0.00001,0.24399,-30.08
2025-09-15T02:28:00Z,20.32,0.00025,0.12341,-29.93
2025-09-15T02:33:00Z,20.82,0.0004,0.07787,-29.75
2025-09-15T02:38:00Z,21.09,0.00013,0.06072,-29.56
2025-09-15T02:43:00Z,21.2,0.00001,0.05487,-29.34
2025-09-15T02:48:00Z,21.24,0.00002,0.05289,-29.1
2025-09-15T02:53:00Z,21.26,0.00002,0.05192,-28.85
2025-09-15T02:58:00Z,21.26,0.00012,0.05192,-28.57
2025-09-15T03:03:00Z,21.26,0.00004,0.05192,-28.28
2025-09-15T03:08:00Z,21.28,0.00001,0.05098,-27.96
2025-09-15T03:13:00Z,21.27,0.00005,0.05145,-27.63
2025-09-15T03:18:00Z,21.26,0.00072,0.05192,-27.28
2025-09-15T03:23:00Z,21.26,0.00049,0.05192,-26.91
2025-09-15T03:28:00Z,21.24,0.00144,0.05289,-26.52
2025-09-15T03:33:00Z,21.24,0.00381,0.05289,-26.11
2025-09-15T03:38:00Z,21.24,0.00559,0.05289,-25.69
2025-09-15T03:43:00Z,21.18,0.00453,0.05589,-25.25
2025-09-15T03:48:00Z,21.13,0.01276,0.05853,-24.8
2025-09-15T03:53:00Z,21.08,0.01763,0.06129,-24.32
2025-09-15T03:58:00Z,21.11,0.01592,0.05962,-23.84
2025-09-15T04:03:00Z,21.18,0.00987,0.05589,-23.33
2025-09-15T04:08:00Z,21.18,0.00787,0.05589,-22.81
2025-09-15T04:13:00Z,21.13,0.00792,0.05853,-22.28
2025-09-15T04:18:00Z,21.12,0.00595,0.05907,-21.73
2025-09-15T04:23:00Z,21.12,0.00511,0.05907,-21.17
2025-09-15T04:28:00Z,21.13,0.00419,0.05853,-20.59
2025-09-15T04:33:00Z,21.17,0.00106,0.05641,-20
2025-09-15T04:38:00Z,21.17,0.00087,0.05641,-19.4
2025-09-15T04:43:00Z,21.17,0.00102,0.05641,-18.78
2025-09-15T04:48:00Z,21.17,0.00079,0.05641,-18.15
2025-09-15T04:53:00Z,21.18,0.00014,0.05589,-17.51
2025-09-15T04:58:00Z,21.18,0.00018,0.05589,-16.86
2025-09-15T05:03:00Z,21.18,0.00018,0.05589,-16.19
2025-09-15T05:08:00Z,21.17,0.0002,0.05641,-15.52
2025-09-15T05:13:00Z,21.17,0.00034,0.05641,-14.83
2025-09-15T05:18:00Z,21.17,0.00051,0.05641,-14.13
2025-09-15T05:23:00Z,21.18,0.00038,0.05589,-13.42
2025-09-15T05:28:00Z,21.19,0.00021,0.05538,-12.71
2025-09-15T05:33:00Z,21.2,0.00012,0.05487,-11.98
2025-09-15T05:38:00Z,21.2,0.00016,0.05487,-11.24
2025-09-15T05:43:00Z,21.22,0.00015,0.05387,-10.49
2025-09-15T05:48:00Z,21.22,0.00013,0.05387,-9.74
2025-09-15T05:53:00Z,21.22,0.00015,0.05387,-8.97
2025-09-15T05:58:00Z,21.23,0.00016,0.05338,-8.2
2025-09-15T06:03:00Z,21.24,0.00017,0.05289,-7.42
2025-09-15T06:08:00Z,21.25,0.00006,0.0524,-6.63
2025-09-15T06:13:00Z,21.26,0.00006,0.05192,-5.83
2025-09-15T06:18:00Z,21.27,0.00017,0.05145,-5.03
2025-09-15T06:23:00Z,21.28,0.00026,0.05098,-4.21
2025-09-15T06:28:00Z,21.28,0.00045,0.05098,-3.39
2025-09-15T06:33:00Z,21.28,0.00086,0.05098,-2.56
