time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2026-01-17T00:53:56Z,9.78,0.14274,2029.39049,-24.31
2026-01-17T00:58:56Z,10.91,0.05151,716.74657,-25.27
2026-01-17T01:05:01Z,12.51,0.01277,164.19715,-26.44
2026-01-17T01:10:04Z,13.94,0.00854,43.99118,-27.41
2026-01-17T01:15:07Z,15.24,0.01075,13.28512,-28.38
2026-01-17T01:20:15Z,16.44,0.03997,4.39912,-29.38
2026-01-17T01:25:24Z,17.43,0.08732,1.76753,-30.38
2026-01-17T01:30:25Z,18.29,0.08428,0.80051,-31.35
2026-01-17T01:35:25Z,18.97,0.04178,0.42792,-32.32
2026-01-17T01:40:26Z,19.42,0.01183,0.28273,-33.3
2026-01-17T01:45:27Z,19.65,0.00263,0.22875,-34.28
2026-01-17T01:50:28Z,19.76,0.00053,0.20671,-35.27
2026-01-17T01:55:28Z,19.81,0.00034,0.19741,-36.25
2026-01-17T02:00:31Z,19.83,0.00023,0.19381,-37.24
2026-01-17T02:05:34Z,19.85,0.00044,0.19027,-38.24
2026-01-17T02:10:39Z,19.85,0.00061,0.19027,-39.24
2026-01-17T02:15:42Z,19.85,0.0009,0.19027,-40.24
2026-01-17T02:20:42Z,19.86,0.00081,0.18852,-41.23
2026-01-17T02:26:45Z,19.85,0.00081,0.19027,-42.43
2026-01-17T02:31:50Z,19.85,0.00077,0.19027,-43.44
2026-01-17T02:36:51Z,19.86,0.00073,0.18852,-44.43
2026-01-17T02:42:52Z,19.85,0.00075,0.19027,-45.63
2026-01-17T02:48:07Z,19.82,0.0005,0.1956,-46.68
2026-01-17T02:53:07Z,19.84,0.00046,0.19203,-47.67
2026-01-17T02:58:11Z,19.85,0.00059,0.19027,-48.69
2026-01-17T03:03:11Z,19.85,0.00042,0.19027,-49.68
2026-01-17T03:08:13Z,19.85,0.00026,0.19027,-50.69
2026-01-17T03:13:13Z,19.85,0.00032,0.19027,-51.69
2026-01-17T03:22:27Z,19.89,0.00005,0.18339,-53.54
2026-01-17T03:27:30Z,19.89,0.00011,0.18339,-54.56
2026-01-17T03:32:31Z,19.9,0.00011,0.1817,-55.56
2026-01-17T03:37:31Z,19.9,0.00008,0.1817,-56.57
2026-01-17T03:42:33Z,19.9,0.00006,0.1817,-57.58
2026-01-17T03:47:35Z,19.91,0.00006,0.18004,-58.59
2026-01-17T03:52:49Z,19.91,0.00006,0.18004,-59.64
2026-01-17T03:57:55Z,19.92,0.00004,0.17839,-60.66
2026-01-17T04:05:12Z,19.93,0.00003,0.17675,-62.13
2026-01-17T04:17:52Z,19.93,0.0001,0.17675,-64.67
