time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-03-22T01:50:05Z,10.22,0.20788,1353.21132,-81.31
2025-03-22T01:55:05Z,11.53,0.07054,404.91664,-80.33
2025-03-22T02:00:05Z,12.91,0.02306,113.59668,-79.34
2025-03-22T02:05:05Z,14.33,0.07395,30.71607,-78.34
2025-03-22T02:10:05Z,15.69,0.11022,8.77739,-77.34
2025-03-22T02:15:05Z,16.79,0.09971,3.18688,-76.34
2025-03-22T02:20:05Z,17.6,0.06536,1.51135,-75.33
2025-03-22T02:25:05Z,18.15,0.02623,0.91068,-74.32
2025-03-22T02:30:05Z,18.49,0.00556,0.66583,-73.31
2025-03-22T02:35:05Z,18.64,0.00123,0.57992,-72.3
2025-03-22T02:40:05Z,18.71,0.00035,0.54371,-71.29
2025-03-22T02:45:05Z,18.73,0.00032,0.53378,-70.28
2025-03-22T02:50:05Z,18.75,0.00035,0.52404,-69.26
2025-03-22T02:55:05Z,18.75,0.00042,0.52404,-68.25
2025-03-22T03:00:05Z,18.76,0.00038,0.51924,-67.24
2025-03-22T03:05:05Z,18.75,0.00037,0.52404,-66.22
2025-03-22T03:10:05Z,18.76,0.00031,0.51924,-65.21
2025-03-22T03:15:05Z,18.76,0.00049,0.51924,-64.2
2025-03-22T03:20:05Z,18.77,0.00048,0.51448,-63.18
2025-03-22T03:25:05Z,18.75,0.00023,0.52404,-62.17
2025-03-22T03:30:05Z,18.77,0.00019,0.51448,-61.16
2025-03-22T03:35:05Z,18.78,0.00019,0.50976,-60.15
2025-03-22T03:40:05Z,18.78,0.00018,0.50976,-59.13
2025-03-22T03:45:05Z,18.79,0.00017,0.50509,-58.12
2025-03-22T03:50:05Z,18.8,0.00023,0.50046,-57.11
2025-03-22T03:55:05Z,18.79,0.00022,0.50509,-56.1
2025-03-22T04:00:05Z,18.8,0.00012,0.50046,-55.09
2025-03-22T04:05:05Z,18.81,0.00021,0.49587,-54.09
2025-03-22T04:10:05Z,18.8,0.00013,0.50046,-53.08
2025-03-22T04:15:05Z,18.8,0.00013,0.50046,-52.07
2025-03-22T04:20:05Z,18.8,0.00019,0.50046,-51.07
2025-03-22T04:25:05Z,18.8,0.00021,0.50046,-50.06
2025-03-22T04:30:05Z,18.81,0.00018,0.49587,-49.06
2025-03-22T04:35:05Z,18.81,0.00018,0.49587,-48.06
2025-03-22T04:40:05Z,18.81,0.00021,0.49587,-47.06
2025-03-22T04:45:05Z,18.8,0.00026,0.50046,-46.06
2025-03-22T04:50:05Z,18.81,0.00017,0.49587,-45.06
2025-03-22T04:55:05Z,18.81,0.00031,0.49587,-44.06
2025-03-22T05:00:05Z,18.82,0.0003,0.49132,-43.06
2025-03-22T05:05:05Z,18.81,0.00049,0.49587,-42.07
2025-03-22T05:10:05Z,18.81,0.00049,0.49587,-41.07
2025-03-22T05:15:05Z,18.81,0.00049,0.49587,-40.08
2025-03-22T05:20:05Z,18.82,0.00046,0.49132,-39.09
