time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-01-02T00:44:05Z,10.18,0.12,1403.9952,16.19
2025-01-02T00:46:05Z,10.64,0.10082,919.10604,15.89
2025-01-02T00:49:05Z,11.35,0.05539,477.93146,15.43
2025-01-02T00:51:05Z,11.84,0.03297,304.34461,15.12
2025-01-02T00:54:05Z,12.6,0.01064,151.1352,14.66
2025-01-02T00:56:05Z,13.12,0.00308,93.61935,14.35
2025-01-02T00:59:05Z,13.92,0.00197,44.80904,13.88
2025-01-02T01:01:05Z,14.44,0.00394,27.75656,13.56
2025-01-02T01:04:05Z,15.2,0.01511,13.78369,13.09
2025-01-02T01:06:05Z,15.67,0.02166,8.94058,12.77
2025-01-02T01:09:05Z,16.29,0.0426,5.05086,12.29
2025-01-02T01:11:05Z,16.69,0.0528,3.49434,11.97
2025-01-02T01:14:05Z,17.25,0.06596,2.08625,11.48
2025-01-02T01:16:05Z,17.58,0.06351,1.53945,11.16
2025-01-02T01:19:05Z,18.02,0.06102,1.02652,10.67
2025-01-02T01:21:05Z,18.27,0.05193,0.81539,10.34
2025-01-02T01:24:05Z,18.6,0.03384,0.60168,9.84
2025-01-02T01:26:05Z,18.76,0.02651,0.51924,9.51
2025-01-02T01:29:05Z,18.98,0.01145,0.424,9.01
2025-01-02T01:31:05Z,19.08,0.00611,0.38669,8.68
2025-01-02T01:34:05Z,19.19,0.00211,0.34943,8.17
2025-01-02T01:36:05Z,19.24,0.00058,0.33371,7.83
2025-01-02T01:39:05Z,19.28,0.00064,0.32164,7.33
2025-01-02T01:41:05Z,19.3,0.00037,0.31577,6.99
2025-01-02T01:44:05Z,19.33,0.00057,0.30716,6.47
2025-01-02T01:46:05Z,19.33,0.00035,0.30716,6.13
2025-01-02T01:49:05Z,19.33,0.00023,0.30716,5.61
2025-01-02T01:51:05Z,19.34,0.00128,0.30434,5.27
2025-01-02T01:54:05Z,19.35,0.00475,0.30155,4.75
2025-01-02T01:56:05Z,19.35,0.00465,0.30155,4.4
2025-01-02T01:59:05Z,19.36,0.00472,0.29879,3.87
2025-01-02T02:01:05Z,19.37,0.00314,0.29605,3.52
2025-01-02T02:04:05Z,19.37,0.00383,0.29605,3
2025-01-02T02:06:05Z,19.38,0.00277,0.29334,2.64
2025-01-02T02:09:05Z,19.38,0.00361,0.29334,2.11
2025-01-02T02:11:05Z,19.38,0.00361,0.29334,1.76
2025-01-02T02:14:05Z,19.38,0.00463,0.29334,1.22
2025-01-02T02:16:05Z,19.36,0.00336,0.29879,0.86
2025-01-02T02:19:05Z,19.35,0.00338,0.30155,0.33
2025-01-02T02:21:05Z,19.34,0.00205,0.30434,-0.03
2025-01-02T02:24:05Z,19.34,0.00275,0.30434,-0.58
2025-01-02T02:26:05Z,19.32,0.00194,0.31,-0.94
2025-01-02T02:29:05Z,19.31,0.00258,0.31287,-1.48
2025-01-02T02:31:05Z,19.34,0.00169,0.30434,-1.84
2025-01-02T02:34:05Z,19.39,0.00026,0.29065,-2.39
2025-01-02T02:36:05Z,19.4,0.00017,0.28798,-2.76
