time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2024-12-14T03:45:00Z,17.43,0.01105,1.76753,58.33
2024-12-14T04:00:02Z,17.21,0.04232,2.16454,61.43
2024-12-14T04:15:02Z,16.79,0.00012,3.18688,64.51
2024-12-14T04:30:02Z,15.7,0.00113,8.69692,67.57
2024-12-14T04:45:02Z,14.86,0.00039,18.85236,70.6
2024-12-14T05:00:02Z,14.32,0.00143,31.00028,73.58
2024-12-14T05:15:00Z,13.93,0.00041,44.39823,76.46
2024-12-14T05:30:00Z,13.6,0.002,60.16801,79.17
2024-12-14T05:45:00Z,13.5,0.00001,65.97291,81.55
2024-12-14T06:00:00Z,13.54,0.0006,63.5866,83.23
2024-12-14T06:15:00Z,13.52,0.00221,64.76877,83.62
2024-12-14T06:30:00Z,13.44,0.00025,69.72132,82.52
2024-12-14T06:45:00Z,13.41,0.002,71.67466,80.43
2024-12-14T07:00:00Z,13.64,0.00312,57.99167,77.86
2024-12-14T07:15:00Z,14.06,0.0125,39.38815,75.05
2024-12-14T07:30:00Z,14.47,0.12168,27.00012,72.12
2024-12-14T07:45:00Z,15.12,0.01568,14.83767,69.13
2024-12-14T08:00:00Z,16.51,0.00112,4.12445,66.09
2024-12-14T08:15:00Z,17.08,0.00008,2.43986,63.04
2024-12-14T08:30:00Z,17.39,1.69898,1.83386,59.97
2024-12-14T08:45:00Z,17.59,1.40729,1.52534,56.89
2024-12-14T09:00:00Z,17.72,0.23545,1.35321,53.82
2024-12-14T09:15:00Z,17.81,0.06365,1.24556,50.75
2024-12-14T09:30:00Z,17.91,0.00004,1.13597,47.69
2024-12-14T09:45:00Z,17.96,0.00012,1.08484,44.64
2024-12-14T10:00:00Z,18.02,0.00018,1.02652,41.6
2024-12-14T10:15:00Z,18.09,0.00018,0.96242,38.57
2024-12-14T10:30:00Z,18.16,0.00001,0.90233,35.56
2024-12-14T10:45:00Z,18.23,0.00001,0.84599,32.57
