time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2026-05-12T02:24:00Z,9.59,0.0018,2417.49521,-59.78
2026-05-12T02:29:00Z,10.7,0.00005,869.69229,-60.2
2026-05-12T02:34:00Z,11.98,0.00012,267.52577,-60.58
2026-05-12T02:39:00Z,13.24,0.00001,83.82347,-60.93
2026-05-12T02:44:00Z,14.45,0.00001,27.50209,-61.23
2026-05-12T02:49:00Z,15.56,0.00004,9.89386,-61.5
2026-05-12T02:54:00Z,16.56,0.00008,3.93882,-61.72
2026-05-12T02:59:00Z,17.44,0.00005,1.75132,-61.9
2026-05-12T03:04:00Z,18.17,0.00013,0.89406,-62.03
2026-05-12T03:09:00Z,18.71,0.00041,0.54371,-62.12
2026-05-12T03:14:00Z,19.03,0.00018,0.40492,-62.16
2026-05-12T03:19:00Z,19.18,0.0004,0.35267,-62.16
2026-05-12T03:24:00Z,19.25,0.00112,0.33065,-62.12
2026-05-12T03:29:00Z,19.3,0.00012,0.31577,-62.03
2026-05-12T03:34:00Z,19.42,0.00001,0.28273,-61.89
2026-05-12T03:39:00Z,19.46,0.00025,0.2725,-61.72
2026-05-12T03:44:00Z,19.47,0.00005,0.27,-61.49
2026-05-12T03:49:00Z,19.46,0.00002,0.2725,-61.23
2026-05-12T03:54:00Z,19.5,0.00018,0.26264,-60.93
2026-05-12T03:59:00Z,19.56,0.01717,0.24852,-60.58
2026-05-12T04:04:00Z,19.66,0.00991,0.22666,-60.2
2026-05-12T04:09:00Z,19.74,0.01257,0.21056,-59.78
2026-05-12T04:14:00Z,19.84,0.01517,0.19203,-59.32
2026-05-12T04:19:00Z,19.83,0.01328,0.19381,-58.84
2026-05-12T04:24:00Z,19.82,0.00962,0.1956,-58.31
2026-05-12T04:29:00Z,19.88,0.01445,0.18508,-57.76
2026-05-12T04:34:00Z,19.99,0.01521,0.16725,-57.18
2026-05-12T04:39:00Z,20.03,0.01362,0.1612,-56.57
2026-05-12T04:44:00Z,20.15,0.06025,0.14433,-55.94
2026-05-12T04:49:00Z,20.19,0.06986,0.13911,-55.28
