time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-01-04T00:34:05Z,9.69,0.07948,2204.78183,38.05
2025-01-04T00:39:05Z,10.89,0.04267,730.07188,37.51
2025-01-04T00:44:05Z,12.13,0.04416,233.0052,36.95
2025-01-04T00:49:05Z,13.41,0.03494,71.67466,36.36
2025-01-04T00:54:05Z,14.67,0.02448,22.45772,35.76
2025-01-04T00:59:05Z,15.97,0.02639,6.78212,35.14
2025-01-04T01:04:05Z,17.08,0.02815,2.43986,34.51
2025-01-04T01:09:05Z,18,0.04557,1.0456,33.85
2025-01-04T01:14:05Z,18.88,0.05119,0.46491,33.19
2025-01-04T01:19:05Z,19.73,0.02956,0.2125,32.5
2025-01-04T01:24:05Z,20.15,0.04523,0.14433,31.8
2025-01-04T01:29:06Z,20.51,0.02738,0.1036,31.09
2025-01-04T01:34:06Z,20.75,0.01025,0.08305,30.36
2025-01-04T01:39:07Z,20.92,0.00353,0.07102,29.62
2025-01-04T01:44:07Z,20.92,0.00286,0.07102,28.86
2025-01-04T01:49:07Z,20.92,0.00255,0.07102,28.1
2025-01-04T01:54:07Z,20.9,0.00403,0.07234,27.32
2025-01-04T01:59:07Z,20.94,0.00349,0.06972,26.54
2025-01-04T02:04:07Z,20.97,0.00081,0.06782,25.74
2025-01-04T02:09:07Z,20.94,0.00052,0.06972,24.93
2025-01-04T02:14:07Z,20.9,0.00123,0.07234,24.11
2025-01-04T02:19:06Z,20.88,0.00178,0.07368,23.28
2025-01-04T02:24:06Z,20.85,0.00135,0.07575,22.45
2025-01-04T02:29:06Z,20.83,0.00037,0.07716,21.6
2025-01-04T02:34:06Z,20.83,0.00036,0.07716,20.75
2025-01-04T02:39:06Z,20.86,0.00052,0.07505,19.88
2025-01-04T02:44:07Z,20.89,0.00024,0.07301,19.01
2025-01-04T02:49:07Z,20.91,0.00027,0.07167,18.13
2025-01-04T02:54:07Z,20.92,0.00065,0.07102,17.25
2025-01-04T02:59:07Z,20.94,0.00065,0.06972,16.36
2025-01-04T03:04:07Z,20.95,0.00081,0.06908,15.46
2025-01-04T03:09:08Z,20.97,0.00065,0.06782,14.55
2025-01-04T03:14:08Z,21,0.00086,0.06597,13.65
2025-01-04T03:19:08Z,21.04,0.00089,0.06359,12.73
2025-01-04T03:24:08Z,21.06,0.00099,0.06243,11.81
2025-01-04T03:29:09Z,21.12,0.00163,0.05907,10.88
2025-01-04T03:34:09Z,21.13,0.00119,0.05853,9.95
2025-01-04T03:39:09Z,21.18,0.00115,0.05589,9.02
2025-01-04T03:44:09Z,21.19,0.00082,0.05538,8.08
2025-01-04T03:49:10Z,21.23,0.00719,0.05338,7.13
