time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-11-14T00:30:00Z,9.13,0.00318,3692.88362,-40.67
2025-11-14T00:35:00Z,10.31,0.01937,1245.56278,-41.4
2025-11-14T00:40:00Z,11.46,0.0029,431.88251,-42.11
2025-11-14T00:45:00Z,12.83,0.00265,122.28287,-42.8
2025-11-14T00:50:00Z,14.21,0.00949,34.30565,-43.47
2025-11-14T00:55:00Z,15.37,0.00909,11.78598,-44.13
2025-11-14T01:00:00Z,16.53,0.03628,4.04917,-44.76
2025-11-14T01:05:00Z,17.48,0.01045,1.68797,-45.38
2025-11-14T01:10:00Z,18.63,0.00736,0.58528,-45.98
2025-11-14T01:15:00Z,19.75,0.0033,0.20862,-46.55
2025-11-14T01:20:00Z,20.47,0.00005,0.10749,-47.1
2025-11-14T01:25:00Z,20.89,0.00128,0.07301,-47.63
2025-11-14T01:30:00Z,21.18,0.00198,0.05589,-48.13
2025-11-14T01:35:00Z,21.34,0.00033,0.04824,-48.6
2025-11-14T01:40:00Z,21.39,0.00042,0.04606,-49.05
2025-11-14T01:45:00Z,21.42,0.00036,0.04481,-49.48
2025-11-14T01:50:00Z,21.48,0.00017,0.0424,-49.87
2025-11-14T01:55:00Z,21.49,0.00006,0.04201,-50.24
2025-11-14T02:00:00Z,21.48,0.00005,0.0424,-50.57
2025-11-14T02:05:00Z,21.48,0.00008,0.0424,-50.88
2025-11-14T02:10:00Z,21.5,0.00013,0.04163,-51.15
2025-11-14T02:15:00Z,21.51,0.00002,0.04124,-51.39
2025-11-14T02:20:00Z,21.54,0.00005,0.04012,-51.6
2025-11-14T02:25:00Z,21.55,0.00643,0.03975,-51.78
2025-11-14T02:30:00Z,21.55,0.0058,0.03975,-51.92
2025-11-14T02:35:00Z,21.52,0.00489,0.04087,-52.03
2025-11-14T02:40:00Z,21.49,0.00463,0.04201,-52.11
2025-11-14T02:45:00Z,21.49,0.00452,0.04201,-52.15
2025-11-14T02:50:00Z,21.52,0.00452,0.04087,-52.16
2025-11-14T02:55:00Z,21.54,0.00381,0.04012,-52.13
2025-11-14T03:00:00Z,21.54,0.00162,0.04012,-52.06
2025-11-14T03:05:00Z,21.54,0.001,0.04012,-51.97
2025-11-14T03:10:00Z,21.54,0.00092,0.04012,-51.84
2025-11-14T03:15:00Z,21.56,0.00047,0.03939,-51.67
2025-11-14T03:20:00Z,21.55,0.00049,0.03975,-51.47
2025-11-14T03:25:00Z,21.57,0.00116,0.03903,-51.24
2025-11-14T03:30:00Z,21.58,0.00152,0.03867,-50.98
2025-11-14T03:35:00Z,21.57,0.00212,0.03903,-50.69
2025-11-14T03:40:00Z,21.57,0.0022,0.03903,-50.36
2025-11-14T03:45:00Z,21.55,0.00187,0.03975,-50.01
2025-11-14T03:50:00Z,21.55,0.00085,0.03975,-49.63
