time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-11-22T00:30:00Z,10.66,0.24638,902.33047,4.37
2025-11-22T00:35:00Z,11.92,0.11698,282.72592,3.57
2025-11-22T00:40:00Z,13.25,0.11179,83.05497,2.77
2025-11-22T00:45:00Z,14.42,0.38334,28.27259,1.95
2025-11-22T00:50:00Z,15.69,0.37841,8.77739,1.13
2025-11-22T00:55:00Z,16.68,0.17396,3.52668,0.3
2025-11-22T01:00:00Z,17.38,0.06897,1.85083,-0.53
2025-11-22T01:05:00Z,17.7,0.06406,1.37837,-1.37
2025-11-22T01:10:00Z,17.75,0.07119,1.31633,-2.22
2025-11-22T01:15:00Z,17.72,0.07497,1.35321,-3.07
2025-11-22T01:20:00Z,17.76,0.07688,1.30426,-3.93
2025-11-22T01:25:00Z,17.99,0.0206,1.05527,-4.79
2025-11-22T01:30:00Z,18.03,0.03918,1.0171,-5.66
2025-11-22T01:35:00Z,17.78,0.02181,1.28046,-6.54
2025-11-22T01:40:00Z,17.76,0.01751,1.30426,-7.42
2025-11-22T01:45:00Z,17.77,0.01747,1.29231,-8.3
2025-11-22T01:50:00Z,17.81,0.09494,1.24556,-9.19
2025-11-22T01:55:00Z,17.77,0.09008,1.29231,-10.09
2025-11-22T02:00:00Z,17.86,0.08552,1.1895,-10.99
2025-11-22T02:05:00Z,17.95,0.12588,1.09488,-11.89
2025-11-22T02:10:00Z,17.84,0.09687,1.21162,-12.8
2025-11-22T02:15:00Z,17.77,0.07872,1.29231,-13.71
2025-11-22T02:20:00Z,17.77,0.09588,1.29231,-14.62
2025-11-22T02:25:00Z,17.77,0.09083,1.29231,-15.54
2025-11-22T02:30:00Z,18.15,0.02255,0.91068,-16.46
2025-11-22T02:35:00Z,18.06,0.03462,0.98939,-17.39
2025-11-22T02:40:00Z,18.03,0.0264,1.0171,-18.32
2025-11-22T02:45:00Z,17.91,0.09442,1.13597,-19.25
2025-11-22T02:50:00Z,17.96,0.09626,1.08484,-20.19
2025-11-22T02:55:00Z,18.02,0.09604,1.02652,-21.13
2025-11-22T03:00:00Z,18.11,0.08992,0.94486,-22.07
2025-11-22T03:05:00Z,18.02,0.09801,1.02652,-23.01
2025-11-22T03:10:00Z,18.05,0.12334,0.99854,-23.96
2025-11-22T03:15:00Z,17.92,0.06023,1.12555,-24.91
2025-11-22T03:20:00Z,17.93,0.0546,1.11523,-25.87
2025-11-22T03:25:00Z,18.3,0.09696,0.79317,-26.82
2025-11-22T03:30:00Z,18.42,0.22538,0.71018,-27.78
2025-11-22T03:35:00Z,18.32,0.30191,0.77869,-28.74
2025-11-22T03:40:00Z,18.54,0.49643,0.63587,-29.7
2025-11-22T03:45:00Z,18.56,0.59549,0.62426,-30.67
2025-11-22T03:50:00Z,18.4,0.74079,0.72338,-31.64
2025-11-22T03:55:00Z,18.26,0.7386,0.82294,-32.61
2025-11-22T04:00:00Z,18.25,0.74709,0.83055,-33.58
2025-11-22T04:05:00Z,18.47,0.76764,0.67821,-34.55
2025-11-22T04:10:00Z,18.94,0.75444,0.43991,-35.53
2025-11-22T04:15:00Z,18.45,0.7256,0.69082,-36.5
2025-11-22T04:20:00Z,18.7,0.65507,0.54874,-37.48
2025-11-22T04:25:00Z,19.07,0.65152,0.39027,-38.46
2025-11-22T04:30:00Z,19.32,0.5299,0.31,-39.44
2025-11-22T04:35:00Z,19.12,0.46945,0.37271,-40.43
2025-11-22T04:40:00Z,19.27,0.5296,0.32461,-41.41
2025-11-22T04:45:00Z,19.39,0.64172,0.29065,-42.4
2025-11-22T04:50:00Z,19.39,0.58677,0.29065,-43.39
2025-11-22T04:55:00Z,19.43,0.56233,0.28013,-44.37
2025-11-22T05:00:00Z,19.58,0.60319,0.24399,-45.36
2025-11-22T05:05:00Z,19.78,0.42861,0.20294,-46.36
2025-11-22T05:10:00Z,19.7,0.29308,0.21846,-47.35
2025-11-22T05:15:00Z,19.61,0.41064,0.23734,-48.34
2025-11-22T05:20:00Z,19.64,0.52705,0.23087,-49.33
2025-11-22T05:25:00Z,19.56,0.41419,0.24852,-50.33
2025-11-22T05:30:00Z,19.69,0.34605,0.22048,-51.32
2025-11-22T05:35:00Z,19.69,0.3339,0.22048,-52.32
2025-11-22T05:40:00Z,19.68,0.36695,0.22252,-53.32
2025-11-22T05:45:00Z,19.57,0.35265,0.24624,-54.31
2025-11-22T05:50:00Z,19.54,0.35077,0.25314,-55.31
2025-11-22T05:55:00Z,19.31,0.35678,0.31287,-56.31
2025-11-22T06:00:00Z,19.29,0.33936,0.31869,-57.31
2025-11-22T06:05:00Z,19.66,0.33523,0.22666,-58.31
2025-11-22T06:10:00Z,19.56,0.33322,0.24852,-59.3
2025-11-22T06:15:00Z,19.71,0.33889,0.21645,-60.3
2025-11-22T06:20:00Z,19.86,0.30373,0.18852,-61.3
2025-11-22T06:25:00Z,19.75,0.25997,0.20862,-62.3
2025-11-22T06:30:00Z,19.64,0.207,0.23087,-63.3
2025-11-22T06:35:00Z,19.84,0.19001,0.19203,-64.29
2025-11-22T06:40:00Z,19.74,0.19114,0.21056,-65.29
2025-11-22T06:45:00Z,19.74,0.16871,0.21056,-66.29
2025-11-22T06:50:00Z,19.86,0.09906,0.18852,-67.28
2025-11-22T06:55:00Z,19.89,0.15321,0.18339,-68.27
2025-11-22T07:00:00Z,19.83,0.15634,0.19381,-69.26
2025-11-22T07:05:00Z,19.93,0.15648,0.17675,-70.25
2025-11-22T07:10:00Z,19.97,0.18057,0.17036,-71.24
2025-11-22T07:15:00Z,19.97,0.18727,0.17036,-72.22
2025-11-22T07:20:00Z,19.93,0.14107,0.17675,-73.2
2025-11-22T07:25:00Z,19.9,0.13905,0.1817,-74.17
2025-11-22T07:30:00Z,19.82,0.1141,0.1956,-75.14
2025-11-22T07:35:00Z,19.71,0.0798,0.21645,-76.1
2025-11-22T07:40:00Z,19.71,0.0722,0.21645,-77.06
2025-11-22T07:45:00Z,19.78,0.0733,0.20294,-78
2025-11-22T07:50:00Z,19.67,0.06295,0.22458,-78.93
2025-11-22T07:55:00Z,19.69,0.06307,0.22048,-79.84
2025-11-22T08:00:00Z,19.69,0.06287,0.22048,-80.73
2025-11-22T08:05:00Z,19.76,0.05512,0.20671,-81.59
2025-11-22T08:10:00Z,19.76,0.04821,0.20671,-82.4
2025-11-22T08:15:00Z,19.64,0.04352,0.23087,-83.17
2025-11-22T08:20:00Z,19.67,0.05502,0.22458,-83.85
2025-11-22T08:25:00Z,19.7,0.08855,0.21846,-84.44
2025-11-22T08:30:00Z,19.66,0.11498,0.22666,-84.88
2025-11-22T08:35:00Z,19.59,0.12837,0.24175,-85.15
2025-11-22T08:40:00Z,19.52,0.14138,0.25785,-85.21
2025-11-22T08:45:00Z,19.54,0.14216,0.25314,-85.06
2025-11-22T08:50:00Z,19.58,0.14433,0.24399,-84.7
2025-11-22T08:55:00Z,19.63,0.1208,0.23301,-84.19
2025-11-22T09:00:00Z,19.7,0.08861,0.21846,-83.56
2025-11-22T09:05:00Z,19.79,0.08409,0.20108,-82.83
2025-11-22T09:10:00Z,19.8,0.07385,0.19923,-82.04
2025-11-22T09:15:00Z,19.83,0.05543,0.19381,-81.21
2025-11-22T09:20:00Z,19.83,0.04788,0.19381,-80.33
2025-11-22T09:25:00Z,19.8,0.05069,0.19923,-79.44
2025-11-22T09:30:00Z,19.85,0.04981,0.19027,-78.52
2025-11-22T09:35:00Z,19.82,0.04677,0.1956,-77.58
2025-11-22T09:40:00Z,19.83,0.03593,0.19381,-76.64
2025-11-22T09:45:00Z,19.84,0.02069,0.19203,-75.68
2025-11-22T09:50:00Z,19.88,0.01153,0.18508,-74.71
2025-11-22T09:55:00Z,19.89,0.01095,0.18339,-73.74
2025-11-22T10:00:00Z,19.89,0.0108,0.18339,-72.77
2025-11-22T10:05:00Z,19.9,0.011,0.1817,-71.79
2025-11-22T10:10:00Z,19.87,0.011,0.1868,-70.8
2025-11-22T10:15:00Z,19.83,0.00974,0.19381,-69.82
2025-11-22T10:20:00Z,19.83,0.00984,0.19381,-68.83
2025-11-22T10:25:00Z,19.85,0.0093,0.19027,-67.84
2025-11-22T10:30:00Z,19.87,0.00292,0.1868,-66.85
2025-11-22T10:35:00Z,19.87,0.00318,0.1868,-65.85
2025-11-22T10:40:00Z,19.9,0.0023,0.1817,-64.86
2025-11-22T10:45:00Z,19.9,0.0015,0.1817,-63.86
2025-11-22T10:50:00Z,19.89,0.00165,0.18339,-62.87
2025-11-22T10:55:00Z,19.9,0.00208,0.1817,-61.87
2025-11-22T11:00:00Z,19.91,0.00052,0.18004,-60.87
2025-11-22T11:05:00Z,19.91,0.00042,0.18004,-59.87
2025-11-22T11:10:00Z,19.92,0.00043,0.17839,-58.88
2025-11-22T11:15:00Z,19.92,0.00044,0.17839,-57.88
2025-11-22T11:20:00Z,19.93,0.00044,0.17675,-56.88
2025-11-22T11:25:00Z,19.93,0.00015,0.17675,-55.89
2025-11-22T11:30:00Z,19.93,0.00015,0.17675,-54.89
2025-11-22T11:35:00Z,19.93,0.00005,0.17675,-53.89
2025-11-22T11:40:00Z,19.94,0.00005,0.17513,-52.9
2025-11-22T11:45:00Z,19.93,0.00008,0.17675,-51.9
2025-11-22T11:50:00Z,19.93,0.00009,0.17675,-50.91
2025-11-22T11:55:00Z,19.93,0.00009,0.17675,-49.92
2025-11-22T12:00:00Z,19.93,0.00009,0.17675,-48.92
2025-11-22T12:05:00Z,19.93,0.00007,0.17675,-47.93
2025-11-22T12:10:00Z,19.93,0.00008,0.17675,-46.94
2025-11-22T12:15:00Z,19.94,0.00008,0.17513,-45.95
2025-11-22T12:20:00Z,19.94,0.00011,0.17513,-44.96
2025-11-22T12:25:00Z,19.94,0.00004,0.17513,-43.98
2025-11-22T12:30:00Z,19.94,0.00004,0.17513,-42.99
2025-11-22T12:35:00Z,19.94,0.00005,0.17513,-42.01
2025-11-22T12:40:00Z,19.92,0.00005,0.17839,-41.02
2025-11-22T12:45:00Z,19.86,0.00017,0.18852,-40.04
2025-11-22T12:50:00Z,19.69,0.00111,0.22048,-39.06
2025-11-22T12:55:00Z,19.37,0.0081,0.29605,-38.08
2025-11-22T13:00:00Z,18.82,0.02745,0.49132,-37.11
2025-11-22T13:05:00Z,18.09,0.06232,0.96242,-36.13
2025-11-22T13:10:00Z,17.2,0.0752,2.18457,-35.16
2025-11-22T13:15:00Z,16.22,0.04979,5.38723,-34.18
2025-11-22T13:20:00Z,15.06,0.01531,15.68071,-33.21
2025-11-22T13:25:00Z,13.78,0.00617,50.97598,-32.25
2025-11-22T13:30:00Z,12.46,0.00959,171.93553,-31.28
2025-11-22T13:35:00Z,11.14,0.01487,579.91671,-30.32
2025-11-22T13:40:00Z,9.99,0.02455,1672.49806,-29.36
2025-11-23T00:28:00Z,10.16,0.07418,1430.09742,12.19
2025-11-23T00:33:00Z,11.56,0.05171,393.88153,11.49
2025-11-23T00:38:00Z,12.89,0.02113,115.7086,10.78
2025-11-23T00:43:00Z,14.29,0.01733,31.86879,10.06
2025-11-23T00:48:00Z,15.54,0.05363,10.0778,9.34
2025-11-23T00:53:00Z,16.7,0.5223,3.46231,8.6
2025-11-23T00:58:00Z,17.66,0.88443,1.4301,7.86
2025-11-23T01:03:00Z,18.4,1.02687,0.72338,7.1
2025-11-23T01:08:00Z,18.96,1.00775,0.43188,6.34
2025-11-23T01:13:00Z,19.29,1.15596,0.31869,5.57
2025-11-23T01:18:00Z,19.34,1.04129,0.30434,4.79
2025-11-23T01:23:00Z,19.46,0.81089,0.2725,4
2025-11-23T01:28:00Z,19.49,0.83505,0.26507,3.2
2025-11-23T01:33:00Z,17.92,0.46646,1.12555,2.4
2025-11-23T01:38:00Z,18.44,0.23279,0.69721,1.59
2025-11-23T01:43:00Z,17.95,0.21431,1.09488,0.77
2025-11-23T01:48:00Z,17.36,0.11951,1.88524,-0.05
2025-11-23T01:53:00Z,17.48,0.15575,1.68797,-0.88
2025-11-23T01:58:00Z,17.3,0.14683,1.99235,-1.72
2025-11-23T02:03:00Z,17.6,0.23917,1.51135,-2.56
2025-11-23T02:08:00Z,17.27,0.2808,2.04817,-3.41
2025-11-23T02:13:00Z,17.31,0.49651,1.97408,-4.26
2025-11-23T02:18:00Z,17.46,0.53052,1.71936,-5.12
2025-11-23T02:23:00Z,17.24,0.98916,2.10555,-5.99
2025-11-23T02:28:00Z,17.5,1.08214,1.65716,-6.86
2025-11-23T02:33:00Z,17.11,1.04486,2.37337,-7.74
2025-11-23T02:38:00Z,17.12,1.38442,2.35161,-8.62
2025-11-23T02:43:00Z,17.63,1.52424,1.47016,-9.5
2025-11-23T02:48:00Z,17.89,1.47734,1.15709,-10.39
2025-11-23T02:53:00Z,17.22,1.00823,2.1447,-11.29
2025-11-23T02:58:00Z,17.29,1.30382,2.01078,-12.19
2025-11-23T03:03:00Z,18.49,0.57976,0.66583,-13.09
2025-11-23T03:08:00Z,17.86,0.65225,1.1895,-14
2025-11-23T03:13:00Z,18.48,0.13326,0.67199,-14.91
2025-11-23T03:18:00Z,17.66,0.12933,1.4301,-15.83
2025-11-23T03:23:00Z,17.38,0.18864,1.85083,-16.75
2025-11-23T03:28:00Z,16.77,0.0662,3.24613,-17.67
2025-11-23T03:33:00Z,16.87,0.07368,2.9605,-18.6
2025-11-23T03:38:00Z,16.72,0.0562,3.39911,-19.53
2025-11-23T03:43:00Z,16.57,2.7761,3.9027,-20.46
2025-11-23T03:48:00Z,16.81,2.73359,3.12871,-21.4
2025-11-23T03:53:00Z,16.78,2.37306,3.21637,-22.34
2025-11-23T03:58:00Z,16.73,2.54782,3.36795,-23.28
2025-11-23T04:03:00Z,16.56,1.65056,3.93882,-24.22
2025-11-23T04:08:00Z,16.65,1.0635,3.62548,-25.17
2025-11-23T04:13:00Z,16.46,0.66321,4.31883,-26.12
2025-11-23T04:18:00Z,16.52,0.72739,4.08663,-27.08
2025-11-23T04:23:00Z,16.77,0.70514,3.24613,-28.03
2025-11-23T04:28:00Z,16.8,0.70464,3.15766,-28.99
2025-11-23T04:33:00Z,16.66,0.7211,3.59224,-29.95
2025-11-23T04:38:00Z,16.88,0.69428,2.93336,-30.91
2025-11-23T04:43:00Z,17.4,0.6681,1.81704,-31.88
2025-11-23T04:48:00Z,16.73,0.65062,3.36795,-32.85
2025-11-23T04:53:00Z,16.68,0.7471,3.52668,-33.82
2025-11-23T04:58:00Z,16.52,0.75048,4.08663,-34.79
2025-11-23T05:03:00Z,16.94,0.71348,2.77566,-35.76
2025-11-23T05:08:00Z,16.94,0.65309,2.77566,-36.73
2025-11-23T05:13:00Z,17.03,0.96228,2.55485,-37.71
2025-11-23T05:18:00Z,17.06,0.96376,2.48522,-38.69
2025-11-23T05:23:00Z,16.88,1.00162,2.93336,-39.67
2025-11-23T05:28:00Z,16.94,1.05333,2.77566,-40.65
2025-11-23T05:33:00Z,16.68,1.044,3.52668,-41.63
2025-11-23T05:38:00Z,16.91,1.24805,2.85342,-42.62
2025-11-23T05:43:00Z,16.77,1.24816,3.24613,-43.6
2025-11-23T05:48:00Z,17.03,1.2242,2.55485,-44.59
2025-11-23T05:53:00Z,17.54,1.22709,1.59722,-45.58
2025-11-23T05:58:00Z,17.11,1.22097,2.37337,-46.57
2025-11-23T06:03:00Z,16.8,1.32368,3.15766,-47.56
2025-11-23T06:08:00Z,16.77,1.35826,3.24613,-48.55
2025-11-23T06:13:00Z,17.69,1.77815,1.39112,-49.54
2025-11-23T06:18:00Z,17.72,1.8497,1.35321,-50.53
2025-11-23T06:23:00Z,17.34,1.77746,1.92028,-51.53
2025-11-23T06:28:00Z,17.17,1.88851,2.24577,-52.52
2025-11-23T06:33:00Z,17.52,1.72985,1.62692,-53.51
2025-11-23T06:38:00Z,17.58,2.15701,1.53945,-54.51
2025-11-23T06:43:00Z,17.09,2.24896,2.4175,-55.51
2025-11-23T06:48:00Z,17.17,2.40455,2.24577,-56.5
2025-11-23T06:53:00Z,16.76,2.34512,3.27616,-57.5
2025-11-23T06:58:00Z,17.06,2.32693,2.48522,-58.5
2025-11-23T07:03:00Z,17,2.3377,2.62643,-59.49
2025-11-23T07:08:00Z,17.65,2.28772,1.44333,-60.49
2025-11-23T07:13:00Z,17.34,2.48864,1.92028,-61.49
2025-11-23T07:18:00Z,18.01,2.63243,1.03601,-62.48
2025-11-23T07:23:00Z,18.01,2.6548,1.03601,-63.48
2025-11-23T07:28:00Z,18.05,3.92239,0.99854,-64.47
2025-11-23T07:33:00Z,17.54,8.02725,1.59722,-65.47
2025-11-23T07:38:00Z,17.17,9.76599,2.24577,-66.46
2025-11-23T07:43:00Z,17.14,9.83384,2.30869,-67.45
2025-11-23T07:48:00Z,17.12,10.78106,2.35161,-68.44
2025-11-23T07:53:00Z,17,10.85398,2.62643,-69.43
